original_path,new_path,action,reason,outcome_status,human_review_required
01-architecture/README.md,01-enterprise-architecture/README.md,move,Align with the target taxonomy and content-type placement.,Completed,false
01-architecture/data-architecture/README.md,03-data-engineering/data-architecture/README.md,move,Align with the target taxonomy and content-type placement.,Completed,false
01-architecture/data-architecture/architecture-overview.md,95-review-required/generated-scaffolding/03-data-engineering/data-architecture/architecture-overview.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/data-architecture/best-practices.md,95-review-required/generated-scaffolding/03-data-engineering/data-architecture/best-practices.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/data-architecture/business-context.md,95-review-required/generated-scaffolding/03-data-engineering/data-architecture/business-context.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/data-architecture/common-frameworks.md,95-review-required/generated-scaffolding/03-data-engineering/data-architecture/common-frameworks.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/data-architecture/examples/README.md,95-review-required/generated-scaffolding/03-data-engineering/data-architecture/examples/README.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/data-architecture/examples/example-01.md,95-review-required/generated-scaffolding/03-data-engineering/data-architecture/examples/example-01.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/data-architecture/examples/example-scenario.md,95-review-required/generated-scaffolding/03-data-engineering/data-architecture/examples/example-scenario.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/data-architecture/governance-checklist.md,95-review-required/generated-scaffolding/03-data-engineering/data-architecture/governance-checklist.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/data-architecture/learning-path.md,14-learning-paths/data-engineering/data-architecture.md,move,Align with the target taxonomy and content-type placement.,Completed,false
01-architecture/data-architecture/quick-reference.md,13-reference/data-engineering/data-architecture.md,move,Align with the target taxonomy and content-type placement.,Completed,false
01-architecture/data-architecture/reference-guide.md,03-data-engineering/data-architecture/reference-guide.md,move,Align with the target taxonomy and content-type placement.,Completed,false
01-architecture/data-architecture/troubleshooting-guide.md,95-review-required/generated-scaffolding/03-data-engineering/data-architecture/troubleshooting-guide.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/enterprise-architecture/README.md,01-enterprise-architecture/enterprise-architecture/README.md,move,Align with the target taxonomy and content-type placement.,Completed,false
01-architecture/enterprise-architecture/architecture-overview.md,95-review-required/generated-scaffolding/01-enterprise-architecture/enterprise-architecture/architecture-overview.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/enterprise-architecture/best-practices.md,95-review-required/generated-scaffolding/01-enterprise-architecture/enterprise-architecture/best-practices.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/enterprise-architecture/business-context.md,95-review-required/generated-scaffolding/01-enterprise-architecture/enterprise-architecture/business-context.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/enterprise-architecture/common-frameworks.md,95-review-required/generated-scaffolding/01-enterprise-architecture/enterprise-architecture/common-frameworks.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/enterprise-architecture/examples/README.md,95-review-required/generated-scaffolding/01-enterprise-architecture/enterprise-architecture/examples/README.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/enterprise-architecture/examples/example-01.md,95-review-required/generated-scaffolding/01-enterprise-architecture/enterprise-architecture/examples/example-01.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/enterprise-architecture/examples/example-scenario.md,95-review-required/generated-scaffolding/01-enterprise-architecture/enterprise-architecture/examples/example-scenario.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/enterprise-architecture/governance-checklist.md,95-review-required/generated-scaffolding/01-enterprise-architecture/enterprise-architecture/governance-checklist.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/enterprise-architecture/learning-path.md,14-learning-paths/enterprise-architecture/enterprise-architecture.md,move,Align with the target taxonomy and content-type placement.,Completed,false
01-architecture/enterprise-architecture/quick-reference.md,13-reference/enterprise-architecture/enterprise-architecture.md,move,Align with the target taxonomy and content-type placement.,Completed,false
01-architecture/enterprise-architecture/reference-guide.md,01-enterprise-architecture/enterprise-architecture/reference-guide.md,move,Align with the target taxonomy and content-type placement.,Completed,false
01-architecture/enterprise-architecture/troubleshooting-guide.md,95-review-required/generated-scaffolding/01-enterprise-architecture/enterprise-architecture/troubleshooting-guide.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/index.md,99-archive/duplicates/domain-indexes/01-architecture-index.md,archive,Exact or normalized duplicate of the domain README.,Archived,false
01-architecture/integration-architecture/README.md,01-enterprise-architecture/integration-architecture/README.md,move,Align with the target taxonomy and content-type placement.,Completed,false
01-architecture/integration-architecture/architecture-overview.md,95-review-required/generated-scaffolding/01-enterprise-architecture/integration-architecture/architecture-overview.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/integration-architecture/best-practices.md,95-review-required/generated-scaffolding/01-enterprise-architecture/integration-architecture/best-practices.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/integration-architecture/business-context.md,95-review-required/generated-scaffolding/01-enterprise-architecture/integration-architecture/business-context.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/integration-architecture/common-frameworks.md,95-review-required/generated-scaffolding/01-enterprise-architecture/integration-architecture/common-frameworks.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/integration-architecture/examples/README.md,95-review-required/generated-scaffolding/01-enterprise-architecture/integration-architecture/examples/README.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/integration-architecture/examples/example-01.md,95-review-required/generated-scaffolding/01-enterprise-architecture/integration-architecture/examples/example-01.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/integration-architecture/examples/example-scenario.md,95-review-required/generated-scaffolding/01-enterprise-architecture/integration-architecture/examples/example-scenario.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/integration-architecture/governance-checklist.md,95-review-required/generated-scaffolding/01-enterprise-architecture/integration-architecture/governance-checklist.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/integration-architecture/learning-path.md,14-learning-paths/enterprise-architecture/integration-architecture.md,move,Align with the target taxonomy and content-type placement.,Completed,false
01-architecture/integration-architecture/quick-reference.md,13-reference/enterprise-architecture/integration-architecture.md,move,Align with the target taxonomy and content-type placement.,Completed,false
01-architecture/integration-architecture/reference-guide.md,01-enterprise-architecture/integration-architecture/reference-guide.md,move,Align with the target taxonomy and content-type placement.,Completed,false
